"(Intercept)","blockII","blockIII","blockIV","blockV","water50","water62.5","pot30","pot60","pot120","pot180","water50:pot30","water62.5:pot30","water50:pot60","water62.5:pot60","water50:pot120","water62.5:pot120","water50:pot180","water62.5:pot180",""
1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,37.62
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.3
1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16.28
1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,23.61
1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,29.66
1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,23.34
1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14.41
1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,17.24
1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,29.08
1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,29.52
1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,27.98
1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17.56
1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,20.05
1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,29.9
1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,20.86
1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,35.5
